PID,,,PPID,,,Threads,,,Handles,,,Session,,,Status,,
Mean,Variance,Standard Deviation,Mean,Variance,Standard Deviation,Mean,Variance,Standard Deviation,Mean,Variance,Standard Deviation,Mean,Variance,Standard Deviation,Mean,Variance,Standard Deviation
1150.190476,498590.597,706.1094795,558.0952381,210493.8444,458.7960815,12.73809524,185.7102207,13.62755373,283.3809524,79031.99768,281.126302,0.19047619,0.255516841,0.505486737,0,0,0
1130.536585,494426.2049,703.1544673,560.3902439,215529.4439,464.2514878,12.80487805,187.8109756,13.70441446,285.0731707,81065.46951,284.7199844,0.195121951,0.26097561,0.51085772,0,0,0
1130.536585,494426.2049,703.1544673,560.3902439,215529.4439,464.2514878,12.46341463,183.404878,13.54270571,284.3658537,80294.5878,283.3629965,0.195121951,0.26097561,0.51085772,0,0,0
1130.536585,494426.2049,703.1544673,560.3902439,215529.4439,464.2514878,12.26829268,179.4012195,13.39407404,282.4634146,78731.20488,280.590814,0.195121951,0.26097561,0.51085772,0,0,0
1142.095238,487978.3322,698.554459,606.0952381,298008.381,545.9014389,12.02380952,183.4384437,13.54394491,277.5238095,78437.37747,280.0667375,0.19047619,0.255516841,0.505486737,0,0,0
1146.952381,493685.1196,702.6272978,606.0952381,298008.381,545.9014389,12.19047619,176.6457607,13.2908149,286.7380952,76979.95412,277.452616,0.19047619,0.255516841,0.505486737,0,0,0
1146.952381,493685.1196,702.6272978,606.0952381,298008.381,545.9014389,12.26190476,176.0029036,13.26660859,283.4285714,75832.73868,275.3774477,0.19047619,0.255516841,0.505486737,0,0,0
1159.047619,516507.9489,718.6848745,606.0952381,298008.381,545.9014389,12.42857143,172.738676,13.14300863,281.547619,76601.71719,276.7701523,0.19047619,0.255516841,0.505486737,0,0,0
1146.857143,493554.1742,702.5341089,606.0952381,298008.381,545.9014389,12.23809524,168.7224158,12.9893193,281.5952381,75892.10046,275.4852092,0.19047619,0.255516841,0.505486737,0,0,0
1167.428571,539529.8118,734.5269306,606.0952381,298008.381,545.9014389,12.38095238,171.2659698,13.08686249,283.8095238,77040.3043,277.5613523,0.19047619,0.255516841,0.505486737,0,0,0
1172.47619,556242.1092,745.8164045,606.0952381,298008.381,545.9014389,12.4047619,178.441928,13.35821575,283.547619,77563.86353,278.5028968,0.19047619,0.255516841,0.505486737,0,0,0
1156.285714,510213.77,714.2924961,606.0952381,298008.381,545.9014389,12.26190476,171.1736353,13.08333426,281.0238095,76207.73113,276.0574779,0.19047619,0.255516841,0.505486737,0,0,0
1175.142857,565935.2474,752.286679,606.0952381,298008.381,545.9014389,12.38095238,172.6806039,13.14079921,283.6904762,77687.97503,278.7256268,0.19047619,0.255516841,0.505486737,0,0,0
